Temps;Canal o
(ms);(V)

-39,71895610;-7,92876500
-39,70645210;-7,92876500
-39,69394810;-7,92876500
-39,68144410;-7,92876500
-39,66894010;-8,10531500
-39,65643610;-7,92876500
-39,64393210;-8,10531500
-39,63142810;-8,10531500
-39,61892410;-7,92876500
-39,60642010;-8,10531500
-39,59391610;-8,10531500
-39,58141210;-7,92876500
-39,56890810;-8,10531500
-39,55640410;-8,10531500
-39,54390010;-8,10531500
-39,53139610;-7,92876500
-39,51889210;-8,10531500
-39,50638810;-8,10531500
-39,49388410;-8,10531500
-39,48138011;-8,10531500
-39,46887611;-8,28125000
-39,45637211;-7,92876500
-39,44386811;-7,92876500
-39,43136411;-7,92876500
-39,41886011;-7,92876500
-39,40635611;-7,75283000
-39,39385211;-7,57628000
-39,38134811;-7,57628000
-39,36884411;-7,57628000
-39,35634011;-7,40034400
-39,34383611;-7,22379400
-39,33133211;-7,04785900
-39,31882811;-7,04785900
-39,30632411;-7,22379400
-39,29382011;-7,22379400
-39,28131611;-7,40034400
-39,26881211;-7,22379400
-39,25630811;-7,40034400
-39,24380411;-7,57628000
-39,23130011;-7,75283000
-39,21879611;-7,75283000
-39,20629211;-7,75283000
-39,19378811;-7,75283000
-39,18128411;-7,75283000
-39,16878011;-7,92876500
-39,15627611;-7,92876500
-39,14377211;-7,92876500
-39,13126812;-8,10531500
-39,11876412;-7,92876500
-39,10626012;-7,92876500
-39,09375612;-7,92876500
-39,08125212;-7,92876500
-39,06874812;-8,10531500
-39,05624412;-7,92876500
-39,04374012;-7,92876500
-39,03123612;-7,92876500
-39,01873212;-8,10531500
-39,00622812;-8,10531500
-38,99372412;-8,10531500
-38,98122012;-8,10531500
-38,96871612;-8,10531500
-38,95621212;-8,10531500
-38,94370812;-8,10531500
-38,93120412;-8,10531500
-38,91870012;-8,10531500
-38,90619612;-8,10531500
-38,89369212;-8,28125000
-38,88118812;-8,10531500
-38,86868412;-8,10531500
-38,85618012;-8,10531500
-38,84367612;-8,10531500
-38,83117212;-8,10531500
-38,81866812;-8,10531500
-38,80616412;-8,10531500
-38,79366012;-8,10531500
-38,78115613;-8,10531500
-38,76865213;-8,10531500
-38,75614813;-8,10531500
-38,74364413;-8,28125000
-38,73114013;-8,28125000
-38,71863613;-8,45780000
-38,70613213;-8,63373600
-38,69362813;-8,63373600
-38,68112413;-8,63373600
-38,66862013;-8,63373600
-38,65611613;-8,63373600
-38,64361213;-8,80967000
-38,63110813;-8,80967000
-38,61860413;-8,80967000
-38,60610013;-8,80967000
